root_pos_x,root_pos_y,root_pos_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,hip.pitch.l,hip.roll.l,hip.yaw.l,knee.pitch.l,ankle.pitch.l,ankle.roll.l,hip.pitch.r,hip.roll.r,hip.yaw.r,knee.pitch.r,ankle.pitch.r,ankle.roll.r,waist.yaw,arm.pitch.l,arm.roll.l,arm.yaw.l,elbow.pitch.l,hand.yaw.l,hand.roll.l,hand.pitch.l,arm.pitch.r,arm.roll.r,arm.yaw.r,elbow.pitch.r,hand.yaw.r,hand.roll.r,hand.pitch.r,head.pitch,head.yaw
0.0,0.0,0.7200000286102295,0.0,0.0,0.0,1.0,-0.15761946141719818,-1.6820379755699832e-08,-6.741084490613503e-08,0.3341541886329651,-0.17653463780879974,5.6291926675555715e-09,-0.15762071311473846,-1.9671816176014545e-08,4.9916263122895543e-08,0.3341568410396576,-0.17653611302375793,1.9296349407227353e-08,0.0,-0.0,0.1745329201221466,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1745329201221466,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0,0.7200000286102295,0.0,0.0,0.0,1.0,-0.157619446516037,-1.77764984954365e-08,-6.725850454358806e-08,0.3341541588306427,-0.17653462290763855,6.5973173590805345e-09,-0.15762075781822205,-2.0108485543346433e-08,4.997853153554388e-08,0.33415693044662476,-0.17653615772724152,1.9738495282695112e-08,0.0,-0.0,0.1745329201221466,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1745329201221466,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0,0.7200000286102295,0.0,0.0,0.0,1.0,-0.157619446516037,-1.8732615458816326e-08,-6.71061641810411e-08,0.3341541290283203,-0.17653462290763855,7.565441606516288e-09,-0.15762080252170563,-2.054515313432148e-08,5.0040803500905895e-08,0.3341570496559143,-0.1765362173318863,2.018064293451971e-08,0.0,-0.0,0.1745329201221466,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1745329201221466,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0,0.7200000286102295,0.0,0.0,0.0,1.0,-0.1576194316148758,-1.9688734198552993e-08,-6.695382381849413e-08,0.3341540992259979,-0.17653460800647736,8.53356674213046e-09,-0.1576208472251892,-2.098182250165337e-08,5.010307191355423e-08,0.33415713906288147,-0.17653626203536987,2.062278880998747e-08,0.0,-0.0,0.1745329201221466,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1745329201221466,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0,0.7200000286102295,0.0,0.0,0.0,1.0,-0.1576194167137146,-2.064485293828966e-08,-6.680148345594716e-08,0.33415406942367554,-0.17653459310531616,9.501690989566214e-09,-0.1576208919286728,-2.1418490092628417e-08,5.0165343878916246e-08,0.33415722846984863,-0.17653630673885345,2.1064934685455228e-08,0.0,-0.0,0.1745329201221466,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1745329201221466,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0,0.7200000286102295,0.0,0.0,0.0,1.0,-0.1576194018125534,-2.1600969901669487e-08,-6.66491430934002e-08,0.33415403962135315,-0.17653459310531616,1.0469815237001967e-08,-0.15762093663215637,-2.1855159459960305e-08,5.022761229156458e-08,0.3341573178768158,-0.17653635144233704,2.1507082337279826e-08,0.0,-0.0,0.1745329201221466,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1745329201221466,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0,0.7200000286102295,0.0,0.0,0.0,1.0,-0.1576194018125534,-2.2557088641406153e-08,-6.649680273085323e-08,0.33415400981903076,-0.17653457820415497,1.143794037261614e-08,-0.15762098133563995,-2.2291827050935353e-08,5.02898842569266e-08,0.33415743708610535,-0.1765364110469818,2.1949228212747585e-08,0.0,-0.0,0.1745329201221466,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1745329201221466,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0,0.7200000286102295,0.0,0.0,0.0,1.0,-0.1576193869113922,-2.351320738114282e-08,-6.634446236830627e-08,0.3341539800167084,-0.17653456330299377,1.2406064620051893e-08,-0.15762102603912354,-2.272849641826724e-08,5.0352152669574934e-08,0.3341575264930725,-0.1765364557504654,2.2391374088215343e-08,0.0,-0.0,0.1745329201221466,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1745329201221466,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0,0.7200000286102295,0.0,0.0,0.0,1.0,-0.15761937201023102,-2.4469326120879487e-08,-6.61921220057593e-08,0.334153950214386,-0.17653456330299377,1.3374188867487646e-08,-0.15762105584144592,-2.316516400924229e-08,5.041442463493695e-08,0.3341576159000397,-0.17653650045394897,2.283352174003994e-08,0.0,-0.0,0.1745329201221466,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1745329201221466,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0,0.7200000286102295,0.0,0.0,0.0,1.0,-0.15761935710906982,-2.5425443084259314e-08,-6.603978164321234e-08,0.3341539204120636,-0.17653454840183258,1.434231400310182e-08,-0.1576211005449295,-2.3601833376574177e-08,5.0476693047585286e-08,0.33415770530700684,-0.17653654515743256,2.32756676155077e-08,0.0,-0.0,0.1745329201221466,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1745329201221466,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0,0.7200000286102295,0.0,0.0,0.0,1.0,-0.15761935710906982,-2.638156004763914e-08,-6.588744128066537e-08,0.3341538906097412,-0.1765345335006714,1.5310437362359153e-08,-0.15762114524841309,-2.4038500967549226e-08,5.05389650129473e-08,0.3341578245162964,-0.17653660476207733,2.371781349097546e-08,0.0,-0.0,0.1745329201221466,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1745329201221466,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0,0.7200000286102295,0.0,0.0,0.0,1.0,-0.15761934220790863,-2.7337680563732647e-08,-6.57351009181184e-08,0.3341538608074188,-0.1765345335006714,1.6278562497973326e-08,-0.15762118995189667,-2.4475170334881113e-08,5.060123342559564e-08,0.33415791392326355,-0.1765366494655609,2.4159959366443218e-08,0.0,-0.0,0.1745329201221466,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1745329201221466,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0,0.7200000286102295,0.0,0.0,0.0,1.0,-0.15761932730674744,-2.8293797527112474e-08,-6.558276055557144e-08,0.33415383100509644,-0.1765345185995102,1.72466876335875e-08,-0.15762123465538025,-2.4911837925856162e-08,5.066350539095765e-08,0.3341580033302307,-0.1765366941690445,2.4602107018267816e-08,0.0,-0.0,0.1745329201221466,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1745329201221466,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0,0.7200000286102295,0.0,0.0,0.0,1.0,-0.15761931240558624,-2.92499144904923e-08,-6.543042019302447e-08,0.33415380120277405,-0.176534503698349,1.8214810992844832e-08,-0.15762127935886383,-2.534850729318805e-08,5.072577380360599e-08,0.3341580927371979,-0.17653673887252808,2.5044254670092414e-08,0.0,-0.0,0.1745329201221466,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1745329201221466,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0,0.7200000286102295,0.0,0.0,0.0,1.0,-0.15761931240558624,-3.020603500658581e-08,-6.527807983047751e-08,0.33415377140045166,-0.176534503698349,1.9182936128459005e-08,-0.1576213240623474,-2.5785176660519937e-08,5.0788045768968004e-08,0.3341582119464874,-0.17653679847717285,2.5486400545560173e-08,0.0,-0.0,0.1745329201221466,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1745329201221466,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0,0.7200000286102295,0.0,0.0,0.0,1.0,-0.15761929750442505,-3.1162151969965635e-08,-6.512573946793054e-08,0.3341537415981293,-0.1765344887971878,2.0151061264073178e-08,-0.157621368765831,-2.6221844251494986e-08,5.085031418161634e-08,0.3341583013534546,-0.17653684318065643,2.592854642102793e-08,0.0,-0.0,0.1745329201221466,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1745329201221466,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
