root_pos_x,root_pos_y,root_pos_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,hip.pitch.l,hip.roll.l,hip.yaw.l,knee.pitch.l,ankle.pitch.l,ankle.roll.l,hip.pitch.r,hip.roll.r,hip.yaw.r,knee.pitch.r,ankle.pitch.r,ankle.roll.r,waist.yaw,arm.pitch.l,arm.roll.l,arm.yaw.l,elbow.pitch.l,hand.yaw.l,hand.roll.l,hand.pitch.l,arm.pitch.r,arm.roll.r,arm.yaw.r,elbow.pitch.r,hand.yaw.r,hand.roll.r,hand.pitch.r,head.pitch,head.yaw
0.0,0.0,0.720000684261322,0.0,0.0,0.0,1.0,-0.15761367976665497,1.3198885540077754e-08,-7.216567610157654e-08,0.3341418504714966,-0.17652833461761475,-2.4764416295397496e-08,-0.15761429071426392,-1.1524948995145223e-08,4.862341285161165e-08,0.3341432213783264,-0.1765291839838028,1.104538061014182e-08,0.0,0.0,0.1745329201221466,0.0,0.0,0.0,0.0,0.0,-0.0,-0.1745329201221466,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.0032652998343110085,0.7197091579437256,0.003714538412168622,0.0,0.0,0.999993085861206,-0.19075699150562286,-0.008680476807057858,0.001676148851402104,0.4044989049434662,-0.2137492597103119,0.001411721808835864,-0.16677504777908325,-0.01303604431450367,0.0021944495383650064,0.35356107354164124,-0.1868007481098175,0.005790342576801777,0.0,0.0,0.17580503225326538,0.0,0.0,0.0,0.0,0.0,-0.0,-0.17580503225326538,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.006836724933236837,0.7188926935195923,0.007276378106325865,0.0,0.0,0.9999735355377197,-0.26469385623931885,-0.008880865760147572,0.0024070865474641323,0.5617232322692871,-0.2970401644706726,-0.00535160955041647,-0.17872455716133118,-0.026215724647045135,0.004735390655696392,0.37884265184402466,-0.20018063485622406,0.012086976319551468,0.0,0.0,0.17936691641807556,0.0,0.0,0.0,0.0,0.0,-0.0,-0.17936691641807556,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.011020397767424583,0.7176389098167419,0.010532839223742485,0.0,0.0,0.9999445080757141,-0.3425818681716919,-0.0009778270032256842,0.00034867366775870323,0.727879524230957,-0.3852979242801666,-0.020027954131364822,-0.19208426773548126,-0.03969714418053627,0.007718242239207029,0.4070467948913574,-0.21511654555797577,0.019374031573534012,0.0,0.0,0.1848369687795639,0.0,0.0,0.0,0.0,0.0,-0.0,-0.1848369687795639,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.01612243801355362,0.7160353064537048,0.013331271708011627,0.0,0.0,0.9999111294746399,-0.411722332239151,0.014488707296550274,-0.0063266814686357975,0.8758723139762878,-0.46419617533683777,-0.04247305542230606,-0.2057170271873474,-0.05364775285124779,0.011188816279172897,0.43573713302612305,-0.2303210347890854,0.028137652203440666,0.0,0.0,0.19183355569839478,0.0,0.0,0.0,0.0,0.0,-0.0,-0.19183355569839478,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.02244897000491619,0.7141692638397217,0.015519065782427788,0.0,0.0,0.9998795986175537,-0.46643757820129395,0.036791328340768814,-0.018517883494496346,0.9930267333984375,-0.5269308090209961,-0.07222631573677063,-0.2186899185180664,-0.0682452991604805,0.015154223889112473,0.4629059135913849,-0.24473446607589722,0.03886564448475838,0.0,0.0,0.19997504353523254,0.0,0.0,0.0,0.0,0.0,-0.0,-0.19997504353523254,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.030306115746498108,0.7121284008026123,0.016943639144301414,0.0,0.0,0.9998564720153809,-0.5024927854537964,0.06500433385372162,-0.03568240627646446,1.06935715675354,-0.5680263638496399,-0.10803073644638062,-0.2301727682352066,-0.0836782455444336,0.019582608714699745,0.48675787448883057,-0.2574059069156647,0.05204497650265694,0.0,0.0,0.20887978374958038,0.0,0.0,0.0,0.0,0.0,-0.0,-0.20887978374958038,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.03999999910593033,0.7099999785423279,0.017452405765652657,0.0,0.0,0.9998477101325989,-0.5151448249816895,0.0980209931731224,-0.05534741282463074,1.0938091278076172,-0.5813825130462646,-0.147430419921875,-0.2393389195203781,-0.10014369338750839,0.024391038343310356,0.5055040717124939,-0.2673889100551605,0.06815493851900101,0.0,0.0,0.21816615760326385,0.0,0.0,0.0,0.0,0.0,-0.0,-0.21816615760326385,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.051734693348407745,0.707871675491333,0.016943639144301414,0.0,0.0,0.9998564720153809,-0.5002066493034363,0.1342477798461914,-0.07302546501159668,1.0573259592056274,-0.5620341897010803,-0.1745329201221466,-0.24536031484603882,-0.11778732389211655,0.029417959973216057,0.5173611044883728,-0.2737368643283844,0.0874999538064003,0.0,0.0,0.22745253145694733,0.0,0.0,0.0,0.0,0.0,-0.0,-0.22745253145694733,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.0,0.06530612707138062,0.7058307528495789,0.015519068576395512,0.0,0.0,0.9998795986175537,-0.46126505732536316,0.1706228107213974,-0.08419334143400192,0.9689546823501587,-0.5148980617523193,-0.1745329201221466,-0.24766889214515686,-0.13652321696281433,0.034400589764118195,0.5211232900619507,-0.27580851316452026,0.10972494632005692,0.0,0.0,0.23635725677013397,0.0,0.0,0.0,0.0,0.0,-0.0,-0.23635725677013397,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
